ELECTRONICS & APPLIANCE STORES


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     3874      3904      3916      3958      3981      3992      4081      4048      4098      4186      4118      4248
1993     4395      4343      4383      4460      4485      4567      4642      4667      4729      4710      4741      4794
1994     4837      4949      5052      5090      5185      5313      5330      5411      5508      5635      5753      5834
1995     5892      5827      5849      5733      5956      6000      5965      6159      6141      6212      6263      6281
1996     6191      6248      6365      6373      6428      6334      6234      6340      6438      6428      6356      6305
1997     6128      6370      6360      6456      6400      6440      6525      6541      6559      6572      6628      6659
1998     6776      6797      6788      6766      6829      6921      6960      7047      6954      6940      7000      6964
1999     7000      7024      7116      7195      7230      7286      7378      7281      7410      7400      7350      7498
2000     7605      7674      7652      7813      7611      7435      7397      7440      7588      7416      7392      7346
2001     7376      7334      7267      7212      7135      7246      7298      7276      7141      7237      7662      7825
2002     7604      7643      7690      7616      7678      7656      7543      7520      7511      7522      7545      7660
2003     7439      7354      7364      7440      7563      7650      7731      7914      7909      7984      8030      8127
2004     8104      8080      8117      8218      8241      8297      8337      8335      8422      8494      8479      8513
2005     8555      8765      8784      8820      8775      8828      8877      8868      8955      9047      8965      8889
2006     9395      9101      9185      9165      9132      9130      9126      9124      9158      8953      9158      9478
2007     9229      9123      9026      9008      9090      9023      9088      9274      9174      9293      9562      9368
2008     9175      9196      9171      9286      9530      9305      9329      9201      8814      8732      8737      8351
2009     8884      8844      8099      8049      8026      8039      7965      8000      7965      7920      8208      8068
2010     8223      8491      8148      8289      8366      8501      8361      8337      8393      8210      8121      8274
2011     8218      8356      8477      8529      8425      8439      8557      8615      8493      8737      8653      8456
2012     8522      8538      8707      8569      8723      8658      8759      8647      8628      8314      8653      8800
2013     8811      8864      8642      8668      8663      8658      8598      8592      8528      8616      8511      8473
2014     8501      8525      8597      8549      8413      8328      8419      8487      8659      8610      8808      8778
2015     8627      8497      8355      8382      8443      8537      8371      8356      8387      8293      8134      8142
2016     7967      8059      7938      7881      7924      7878      7945      8039      7732      7612      7464      7600
2017     7696      7609      7824      7851      7744      7672      7579      7597      7662      7708      7838      7798
2018     7847      7941      7880      7994      7945      7991      7916      7940      7778      7770      7714      7579
2019     7619      7508      7571      7519      7590      7549      7652      7572      7618      7446      7514      7497
2020     7467      7381      6135      3527      4272      6004      6981      6986      6886      7114      6851      6456
2021     7525      7089      8339      8446      8228      8593      8511      8251                                        


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.944     0.894     0.937     0.891     0.897     0.949     0.963     0.943     0.926     0.959     1.073     1.651
1993     0.934     0.860     0.949     0.891     0.897     0.949     0.958     0.944     0.929     0.947     1.087     1.657
